SampleID	slope	angle
BM_Control_TP4	0.0141967529703694	0.813359387331557
BM_Control_TP1.1	0.0136467166481798	0.781850735124941
Steady_state_TP2.1	0.0128932146710362	0.738685855010286
GVHD_Control_TP2	0.0116785450709519	0.669100925320245
GVHD_Control_TP3	0.0106925391518137	0.61261401958843
BM_Control_TP3	0.0104817678830449	0.600539068944932
Steady_state_TP3	0.00986731229205923	0.56533700215286
BM_Control_TP1	0.00927925005838969	0.531646606690773
BM_Control_TP2.1	0.00925009992441517	0.529976570388144
GVHD_Control_TP4.1	0.00881674868332181	0.505149399580672
GVHD_Control_TP2.2	0.00831185356097212	0.476223162247669
GVHD_Control_TP2.3	0.0081918377084628	0.469347228635119
GVHD_Control_TP4	0.00697599135012316	0.399688378826878
Steady_state_TP2	0.00578381228789627	0.3313843384155
GVHD_Control_TP3.1	0.00551297708912343	0.315867119744039
BM_Control_TP1.2	0.00541842631401274	0.310449921217362
GVHD_Antibiotics_TP4.5	0.00538216345348316	0.308372272947014
BM_Antibiotics_TP4.1	0.00536065765033989	0.307140116742147
GVHD_Antibiotics_TP4	0.00535843495117743	0.307012769119037
GVHD_Antibiotics_TP1.3	0.00506915494369567	0.290438696252312
GVHD_Control_TP2.1	0.00498491046140641	0.285611964949333
GVHD_Control_TP1	0.00464334514111275	0.266042167404949
BM_Control_TP3.1	0.00460213533436343	0.263681069860008
GVHD_Antibiotics_TP4.1	0.00459333074768717	0.263176614866854
BM_Antibiotics_TP4.2	0.0041663355193855	0.238712060086667
BM_Control_TP2	0.00395514312965399	0.22661182706279
GVHD_Antibiotics_TP4.4	0.00358745506787997	0.205545152808044
GVHD_Antibiotics_TP4.3	0.00337062212054008	0.193121690484739
GVHD_Antibiotics_TP3.2	0.00278240965984257	0.15941991898703
GVHD_Antibiotics_TP1.2	0.0025937815668855	0.148612403488605
GVHD_Control_TP1.1	0.00252399590472931	0.144614005759307
GVHD_Antibiotics_TP3.5	0.00243249217384403	0.139371260372872
BM_Antibiotics_TP4	0.00239810066513785	0.137400783568201
GVHD_Antibiotics_TP2.1	0.00228842225532924	0.131116708093829
BM_Antibiotics_TP3.1	0.00166029696748194	0.095127921565716
BM_Antibiotics_TP1	0.00140198298541826	0.0803276553841357
GVHD_Antibiotics_TP3.4	0.00136272025794663	0.0780780711068495
GVHD_Antibiotics_TP2.2	0.00133342677599482	0.0763996812740295
GVHD_Antibiotics_TP4.2	0.00127407057818448	0.0729988274331894
GVHD_Antibiotics_TP3.3	0.00117080744597822	0.06708229462514
GVHD_Antibiotics_TP3.6	0.00116287995332672	0.0666280833725099
GVHD_Antibiotics_TP2	0.00100706073352195	0.0577003102381621
BM_Antibiotics_TP3.2	0.000992112331285	0.0568438307353081
BM_Antibiotics_TP1.2	0.000926011858161746	0.0530565560864423
GVHD_Antibiotics_TP1.1	0.000866132679568444	0.0496257346281238
BM_Antibiotics_TP1.1	0.000654490783166269	0.037499554251226
BM_Antibiotics_TP2.2	0.000606487176802636	0.0347491512990408
GVHD_Antibiotics_TP1.5	0.000567122141505891	0.032493701693086
GVHD_Antibiotics_TP2.3	0.000543916193963665	0.0311640992496915
GVHD_Antibiotics_TP1.4	0.000530430100079736	0.0303914032110022
GVHD_Antibiotics_TP2.4	0.000492024572362711	0.0281909291382158
GVHD_Antibiotics_TP1	0.000360730465767076	0.0206683323337429
GVHD_Antibiotics_TP1.6	4.24636883083915e-05	0.00243299012116749
BM_Antibiotics_TP3	2.8295524970335e-05	0.00162121415947456
BM_Antibiotics_TP2	2.75631577787541e-05	0.00157925261037586
GVHD_Antibiotics_TP3.1	1.73756773997306e-05	0.000995552981085224
GVHD_Antibiotics_TP3	1.82393070190452e-06	0.000104503531343347
BM_Antibiotics_TP2.1	1.13081648756008e-06	6.47910121409731e-05
